,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,,9240000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.76,12200.0,Yes,Yes,2.1,10.38,7.39,,0.69,1.69,5.64,8.28,1.0,1.8,0.3,0.3,1.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,8.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-14.43,182000000.0,173820000.0,4.5,1.31,58.22,39.56 - 98.09,-46.36,33.0,54.72,1.22,5970000.0,7252553.0,9.44,-0.62,-5.29,-36.56,10.76,-11.68,2.32,2.7,4.59 4.56,48.86,52.62,7.7
LRCX,Lam Research Corporation,Technology | Semiconductor Equipment & Materials | USA,S&P 500,62010000000.0,4610000000.0,17230000000.0,45.5,26.59,6.9,1.53,17700.0,Yes,Yes,2.1,13.76,12.63,1.8,3.6,9.91,16.95,35.67,1.8,2.7,0.8,0.8,-3.29,32.75,35.7,9.55,21.8,-5.88,,28.8,16.5,11.8,9.6,Jul 27 Ae6C,-1.73,0.2,-11.16,84.6,-0.01,27.9,74.9,42.5,45.7,31.2,26.7,17.6,-15.67,137990000.0,136680000.0,1.59,1.54,575.12,375.87 - 731.85,-38.41,19.93,46.85,0.91,1420000.0,1290515.0,4.34,-8.92,-8.65,-9.31,-24.06,-37.32,1.36,18.28,3.33 3.35,439.16,450.78,2.65
LSCC,Lattice Semiconductor Corporation,Technology | Semiconductors | USA,,7580000000.0,135900000.0,585600000.0,3.17,0.86,,,856.0,Yes,Yes,1.9,57.4,27.95,3.83,12.94,17.44,64.29,43.16,2.2,3.0,0.34,0.3,-4.57,0.96,1.98,0.44,101.2,18.37,,28.4,3.8,28.2,105.8,Aug 01 Ae6C,-2.16,1.2,-20.37,,0.56,18.8,32.7,17.4,65.8,24.1,23.2,0.0,-5.28,137420000.0,134890000.0,2.9,2.34,75.12,43.41 - 85.45,-35.31,27.34,46.24,0.83,1670000.0,1378395.0,5.96,-14.12,10.83,-1.44,-10.88,-28.26,1.24,2.32,3.84 3.62,53.05,55.28,4.2
LULU,Lululemon Athletica Inc.,Consumer Cyclical | Apparel Retail | Canada,,41710000000.0,1020000000.0,6640000000.0,22.39,4.17,,,29000.0,Yes,Yes,2.1,44.3,30.66,1.85,6.28,15.57,83.62,175.54,0.8,2.0,0.0,0.0,8.89,7.87,11.37,1.93,66.3,16.17,,27.6,21.7,28.8,42.0,Sep 01 Ae6C,14.12,0.3,0.06,88.5,0.69,23.0,40.3,35.6,56.9,22.7,16.6,0.0,4.91,127620000.0,111830000.0,2.28,1.99,385.52,251.51 - 485.83,-28.24,38.62,66.7,1.7,1280000.0,2182459.0,18.41,9.21,15.33,15.55,-17.13,-10.93,1.29,12.6,4.42 3.38,345.79,348.65,0.83
LYFT,"Lyft, Inc.",Technology | Software - Application | USA,,6420000000.0,-957100000.0,3700000000.0,2.76,5.1,,,4453.0,Yes,Yes,2.2,,17.93,,1.73,6.56,3.55,,0.9,0.9,0.92,0.85,11.27,-2.77,1.01,0.08,43.5,145.15,-,-5.8,56.4,29.5,-41.9,Aug 04 Ae6C,18.85,1.0,-1.13,79.6,-3.12,-20.0,-77.8,-49.4,33.6,-28.4,-25.9,,-37.2,350530000.0,309170000.0,11.29,2.59,31.83,11.96 - 57.68,-68.6,51.42,62.45,1.98,13460000.0,26656169.0,23.45,-6.65,6.91,-51.87,-64.15,-57.62,1.74,1.14,9.22 6.27,17.17,18.11,5.47
MA,Mastercard Incorporated,Financial | Credit Services | USA,S&P 500,327270000000.0,9700000000.0,20860000000.0,6.36,6.53,1.96,0.58,24000.0,Yes,Yes,1.8,34.03,26.57,1.49,15.68,52.81,51.46,42.58,1.3,1.3,2.35,2.23,-1.31,9.87,12.64,2.57,37.4,19.37,,18.9,11.9,21.4,12.4,Jul 28 e9e6O,-0.84,10.8,-1.36,78.4,-0.13,26.5,142.5,39.9,,55.2,46.5,18.8,-3.34,971000000.0,853990000.0,0.51,1.6,423.67,303.65 - 399.92,-16.02,10.6,48.58,0.67,2690000.0,1813286.0,3.26,-4.96,-3.77,3.47,-4.43,-6.53,1.06,7.31,2.25 2.04,330.07,335.85,1.75
MAA,"Mid-America Apartment Communities, Inc.",Real Estate | REIT - Residential | USA,S&P 500,20270000000.0,587400000.0,1890000000.0,51.87,0.52,5.0,2.9,2429.0,Yes,Yes,2.4,33.94,38.81,4.85,10.74,3.33,334.49,44.3,,,0.76,0.76,-2.33,5.09,4.45,1.09,110.0,-11.12,,11.4,9.6,-42.6,-20.2,Jul 27 Ae6C,-1.6,0.6,-4.93,97.3,2.32,5.2,9.9,4.2,60.1,29.0,31.1,82.9,-11.42,115350000.0,114640000.0,2.12,4.13,202.39,158.85 - 231.63,-25.44,8.72,47.1,0.95,587210.0,560102.0,3.43,-6.52,2.23,-18.22,-9.99,-24.73,0.74,3.52,2.05 1.88,171.99,172.7,0.41
MANH,"Manhattan Associates, Inc.",Technology | Software - Application | USA,,9330000000.0,118700000.0,711600000.0,3.32,3.33,,,3860.0,Yes,Yes,1.9,78.29,55.19,5.22,13.11,43.77,43.63,52.05,1.4,1.4,0.0,0.0,-0.02,1.86,2.63,0.57,26.6,10.63,,-0.1,1.9,15.5,2.1,Jul 26 Ae6C,8.31,0.8,-7.36,,0.17,22.8,51.9,44.2,54.3,19.8,16.7,0.0,8.36,62950000.0,61870000.0,2.73,5.41,172.6,106.02 - 188.52,-22.92,37.06,57.28,1.08,312090.0,337511.0,3.73,-2.02,17.69,10.29,-10.17,-6.55,1.85,3.68,2.89 2.27,141.28,145.31,2.85
MANT,ManTech International Corporation,Technology | Software - Application | USA,,3930000000.0,122300000.0,2620000000.0,41.67,1.14,1.64,1.71,9800.0,Yes,Yes,2.9,32.22,25.44,5.99,1.5,2.3,84.0,50.53,1.7,1.7,0.18,0.18,0.1,2.98,3.77,0.9,12.7,6.92,,17.9,9.8,3.2,-38.0,,0.21,6.1,-78.97,67.1,-5.4,4.8,7.3,7.0,14.9,6.7,4.7,52.7,12.35,40940000.0,27480000.0,4.25,4.53,97.14,66.91 - 96.00,-0.05,43.4,62.26,1.42,258050.0,365941.0,0.03,0.23,1.27,11.66,21.95,31.56,0.66,0.11,0.08 0.11,95.96,95.95,-0.01
MAR,"Marriott International, Inc.",Consumer Cyclical | Lodging | USA,S&P 500,52600000000.0,1740000000.0,17930000000.0,5.4,1.69,1.2,0.74,120000.0,Yes,Yes,2.4,30.71,21.35,0.74,2.93,30.07,96.33,28.17,0.5,0.5,4.96,4.64,2.09,5.29,7.6,1.67,507.2,17.15,,4.1,-2.1,69.5,60.5,Aug 02 e9e6O,6.17,0.9,-0.69,62.2,-0.32,7.0,118.7,13.0,21.1,14.1,9.7,0.0,0.54,328200000.0,263780000.0,1.64,2.06,171.88,131.01 - 195.90,-17.12,23.93,59.22,0.66,2100000.0,1388784.0,5.46,0.69,-3.16,-0.12,19.3,-1.74,1.61,3.97,2.89 2.30,159.4,162.36,1.86
MARA,"Marathon Digital Holdings, Inc.",Financial | Capital Markets | USA,,1670000000.0,-215300000.0,188600000.0,6.03,1.89,,,10.0,Yes,Yes,1.9,,15.86,,8.87,2.35,7.49,,4.0,4.0,1.16,1.11,3.75,-1.99,0.89,-0.4,-183.7,519.4,,58.7,32.7,-15.0,-60.0,Aug 08 Ae6C,20.33,0.3,6.11,40.4,13.79,-16.7,-31.0,-7.7,51.2,,,,-32.22,109440000.0,107870000.0,25.96,1.44,20.14,5.20 - 83.45,-83.03,172.31,57.29,1.18,19380000.0,22787552.0,23.02,-13.45,84.86,-42.79,-63.59,-56.91,5.35,1.43,10.62 10.06,13.26,14.16,6.79
MASI,Masimo Corporation,Healthcare | Medical Instruments & Supplies | USA,,8320000000.0,190700000.0,1500000000.0,22.31,,,,2200.0,Yes,Yes,2.5,47.01,32.04,3.95,5.53,7.0,,50.77,1.3,2.1,0.78,0.77,2.02,3.32,4.88,0.92,-3.8,9.52,,-7.4,11.7,85.3,-62.6,Aug 09 Ae6C,7.72,7.94,0.0,87.8,-1.53,9.0,13.1,14.9,58.6,15.1,12.7,0.0,-11.1,53900000.0,48150000.0,8.52,4.7,158.67,112.07 - 305.21,-48.81,39.42,57.2,0.7,873310.0,608944.0,6.9,-0.97,12.07,10.47,-42.69,-46.63,0.96,5.63,3.87 3.48,154.01,156.25,1.45
MASS,908 Devices Inc.,Healthcare | Medical Devices | USA,,649970000.0,-26200000.0,47800000.0,6.4,6.46,,,177.0,Yes,Yes,1.2,,,,13.6,3.08,3.05,,14.7,15.5,0.0,0.07,1.97,-0.86,-0.96,-0.22,-67.5,2.0,-,,,33.7,5.1,Aug 09 e9e6O,-3.01,6.2,-14.07,85.3,1.41,-11.3,-14.0,-9.6,55.9,-56.1,-54.7,,4.32,31410000.0,28940000.0,5.54,4.75,26.5,12.60 - 39.33,-49.87,56.51,50.34,0.51,337610.0,171433.0,7.76,1.13,34.7,4.39,-45.12,-23.77,,1.55,9.55 7.47,19.79,19.72,-0.35
MAXN,"Maxeon Solar Technologies, Ltd.",Technology | Solar | Singapore,,1020000000.0,-285700000.0,903100000.0,3.99,3.09,,,4202.0,Yes,Yes,2.6,,,,1.13,5.69,7.33,,0.6,1.1,1.48,1.17,12.45,-7.04,-1.8,-1.34,-16.7,73.6,-,,,35.4,-8.0,Aug 18 Ae6C,37.42,49.76,0.0,39.5,3.46,-26.5,-96.6,-34.1,-8.8,-25.0,-31.6,,65.15,40850000.0,22550000.0,11.81,4.89,20.2,7.48 - 25.39,-10.63,203.34,64.09,1.22,544370.0,664122.0,20.12,11.28,66.96,71.89,25.78,63.24,,1.78,7.69 9.01,22.55,22.69,0.62
MCHP,Microchip Technology Incorporated,Technology | Semiconductors | USA,S&P 500,37240000000.0,1540000000.0,7220000000.0,10.79,0.68,1.2,1.8,21000.0,Yes,Yes,2.1,24.55,11.68,2.67,5.16,6.21,98.24,17.7,1.2,1.8,0.0,1.27,-2.24,2.73,5.73,1.34,75.9,0.93,,44.3,14.9,25.1,102.0,Aug 02 Ae6C,1.68,2.01,-0.11,95.4,0.53,9.5,26.3,11.3,65.9,28.6,21.3,35.2,-6.63,553800000.0,541410000.0,2.48,2.87,85.63,54.33 - 90.00,-25.6,23.25,49.66,0.76,4690000.0,3559536.0,3.13,-5.28,0.5,-4.14,-14.14,-23.09,1.62,2.29,3.01 3.04,65.74,66.96,1.86
MCK,McKesson Corporation,Healthcare | Medical Distribution | USA,S&P 500,52640000000.0,1400000000.0,268450000000.0,-13.9,15.54,2.16,0.59,58000.0,Yes,Yes,1.9,38.95,14.1,3.69,0.2,,23.57,11.96,0.5,1.0,,,0.13,9.4,25.97,6.05,125.7,6.05,,-20.8,5.9,7.1,69.7,Aug 03 Ae6C,5.72,0.1,-48.16,89.9,-2.7,2.2,-91.2,33.6,4.9,0.9,0.5,19.2,22.4,144200000.0,143620000.0,1.87,2.59,380.46,193.89 - 375.23,-2.4,88.88,56.95,0.96,1040000.0,994357.0,0.65,1.84,17.36,30.73,78.95,47.33,0.59,8.05,2.12 2.00,370.16,366.21,-1.07
MDB,"MongoDB, Inc.",Technology | Software - Infrastructure | USA,,18020000000.0,-361900000.0,1080000000.0,9.94,27.27,,,3544.0,Yes,Yes,2.0,,1413.89,,16.64,27.03,9.85,,4.2,4.2,1.77,1.76,-16.91,-5.37,0.19,-0.15,-5.0,209.5,-,3.7,50.1,57.2,-9.5,Aug 31 Ae6C,-14.41,2.7,-11.95,93.0,2.17,-12.9,-45.9,-15.8,71.3,-26.7,-28.3,,-26.41,67710000.0,65040000.0,5.45,2.3,363.43,213.39 - 590.00,-54.47,25.89,39.88,1.96,1540000.0,3020124.0,11.42,-29.36,-7.49,-20.64,-43.44,-49.25,0.95,21.35,6.71 5.41,247.51,268.64,8.54
MDLZ,"Mondelez International, Inc.",Consumer Defensive | Confectioners | USA,S&P 500,85770000000.0,3860000000.0,29880000000.0,19.91,1.38,1.54,2.51,79000.0,Yes,Yes,1.9,22.25,19.41,4.25,2.87,3.08,44.58,58.39,0.5,0.7,0.7,0.65,-3.21,2.76,3.16,0.69,23.4,7.45,,24.0,2.1,9.5,-29.4,Jul 26 Ae6C,-2.71,0.15,-1.41,80.0,-0.45,5.8,13.8,7.0,37.8,14.7,12.9,50.5,-3.72,1380000000.0,1370000000.0,0.99,2.09,73.06,57.62 - 69.47,-11.72,6.43,41.12,0.97,6520000.0,6327527.0,-1.03,-4.87,0.16,1.94,1.19,-7.51,0.61,1.12,2.27 1.78,60.95,61.33,0.62
MDRX,"Allscripts Healthcare Solutions, Inc.",Healthcare | Health Information Services | USA,,1930000000.0,125200000.0,1050000000.0,10.47,4.4,,,8000.0,Yes,Yes,2.5,17.62,19.21,2.2,1.83,1.62,3.86,10.46,3.2,3.2,0.0,0.17,-0.8,0.96,0.89,0.19,216.0,9.26,,42.1,1.6,6.9,-84.1,Aug 04 Ae6C,5.81,2.6,-16.51,,-3.37,2.8,4.6,3.3,44.6,6.0,5.9,0.0,-7.65,114250000.0,108110000.0,9.79,7.86,22.11,13.05 - 23.25,-26.88,30.29,52.7,0.83,1350000.0,1116545.0,-0.35,-3.41,0.47,-22.59,16.92,-7.86,0.98,0.53,2.96 2.84,16.56,17.0,2.66
MELI,"MercadoLibre, Inc.",Consumer Cyclical | Internet Retail | Uruguay,,49040000000.0,237100000.0,8830000000.0,31.37,58.88,,,29957.0,Yes,Yes,1.8,205.37,85.88,,5.55,30.95,16.49,44.83,1.3,1.3,2.81,1.59,4.57,4.73,11.31,2.18,281.0,63.38,-,-11.5,53.0,52.5,78.4,Aug 03 Ae6C,15.52,8.25,0.01,83.4,-0.22,2.4,19.7,4.8,45.5,5.9,2.7,0.0,-1.1,50370000.0,46190000.0,1.83,1.3,1301.7,600.68 - 1922.56,-49.49,61.65,61.3,1.83,651030.0,1188422.0,13.06,-8.76,29.74,4.26,-48.45,-27.99,1.63,51.78,5.32 4.67,922.54,970.99,5.25
META,"Meta Platforms, Inc.",Communication Services | Internet Content & Information | USA,S&P 500,468890000000.0,33630000000.0,119410000000.0,46.51,14.61,,,83553.0,Yes,Yes,2.1,14.02,15.38,1.86,3.93,3.64,11.58,13.11,2.5,2.5,0.0,0.0,1.3,12.07,11.0,1.91,36.4,11.35,,31.6,33.7,-0.9,-31.8,Jul 27 Ae6C,1.22,0.55,-0.59,75.7,-1.85,20.1,26.5,31.0,80.5,33.4,28.2,0.0,-24.45,2700000000.0,2270000000.0,1.27,1.02,235.81,154.25 - 383.79,-55.93,9.66,53.49,0.78,28200000.0,22074812.0,2.29,-5.15,-8.07,-13.35,-55.25,-49.71,1.3,6.17,3.50 3.12,162.06,169.15,4.37
MGA,Magna International Inc.,Consumer Cyclical | Auto Parts | Canada,,16960000000.0,683000000.0,36030000000.0,37.65,,1.8,3.1,152000.0,Yes,Yes,2.1,25.66,8.12,0.64,0.47,1.54,,44.4,0.9,1.3,0.32,0.31,-3.35,2.26,7.14,1.18,98.4,48.8,,-0.6,-0.1,3.6,-138.4,Jul 29 e9e6O,-2.75,1.6,0.0,72.2,-1.8,2.4,5.9,9.8,13.0,2.6,1.9,77.3,-13.79,291100000.0,287080000.0,1.41,4.09,,52.47 - 90.15,-35.67,10.52,46.01,0.69,988390.0,678697.0,1.75,-9.55,-10.16,-2.46,-27.3,-28.35,1.47,1.91,3.61 2.68,56.27,57.99,3.06
MGI,"MoneyGram International, Inc.",Financial | Credit Services | USA,,1010000000.0,-3200000.0,1280000000.0,-1.91,1.22,,,3072.0,Yes,Yes,3.0,,16.08,,0.79,,8.57,30.48,,,,,0.8,-0.04,0.65,0.13,-316.1,41.3,,-30.3,-4.7,0.1,124.3,,1.89,5.8,0.0,93.2,9.58,-0.1,1.7,5.9,47.3,3.5,-0.2,,9.27,96600000.0,89310000.0,8.3,12.41,16.5,5.06 - 10.87,-3.86,106.52,60.58,1.31,597450.0,784291.0,0.67,0.48,7.29,-3.15,17.02,32.45,1.17,0.11,0.93 0.94,10.45,10.45,0.0
MGIC,Magic Software Enterprises Ltd.,Technology | Software - Application | Israel,,839660000.0,31600000.0,529600000.0,5.24,1.85,0.74,4.4,3677.0,Yes,Yes,,26.09,14.42,2.31,1.59,3.21,9.09,77.03,2.3,2.3,0.22,0.14,-5.02,0.64,1.17,0.26,16.3,13.11,,17.4,19.0,14.9,2.8,Aug 11 e9e6O,-9.04,58.1,0.0,22.5,-0.77,6.3,12.1,12.6,27.2,10.1,6.0,69.9,-9.41,49090000.0,25750000.0,0.09,1.01,28.0,15.08 - 25.49,-34.09,11.41,34.46,2.13,22940.0,48883.0,0.0,-14.85,-4.87,-5.56,-18.88,-19.73,1.2,0.52,2.47 2.83,16.55,16.8,1.51
MITK,"Mitek Systems, Inc.",Technology | Software - Application | USA,,458490000.0,6000000.0,139800000.0,4.16,1.36,,,435.0,Yes,Yes,1.6,78.37,10.74,5.22,3.28,2.43,7.41,15.49,2.4,2.4,0.67,0.67,-3.56,0.13,0.94,0.2,-3.7,5.85,,25.0,28.1,20.5,81.3,Jul 28 Ae6C,-0.41,3.1,-1.45,72.8,2.18,2.2,4.7,4.0,89.7,11.9,6.4,0.0,-21.51,44770000.0,42950000.0,7.26,8.77,18.0,8.32 - 22.26,-54.58,21.5,48.0,1.12,355660.0,397187.0,1.0,-11.86,10.49,-29.55,-53.35,-43.04,0.67,0.41,4.67 3.52,9.53,10.11,6.09
MKC,"McCormick & Company, Incorporated",Consumer Defensive | Packaged Foods | USA,S&P 500,21880000000.0,683200000.0,6340000000.0,17.14,1.19,1.48,1.85,14000.0,Yes,Yes,3.1,31.58,24.28,6.19,3.45,4.66,67.17,203.94,0.3,0.7,1.17,0.85,-8.9,2.53,3.29,1.07,0.8,8.22,,8.7,7.4,-1.3,-35.6,Jun 29 e9e6O,-7.14,0.1,-10.04,87.6,2.4,5.3,15.2,8.5,37.7,14.3,10.8,55.6,-14.12,268300000.0,263760000.0,2.62,5.89,89.15,77.67 - 107.35,-25.58,2.86,32.05,1.61,1170000.0,1886034.0,-5.78,-11.05,-8.55,-18.43,-7.92,-17.31,0.5,2.14,3.33 2.03,79.3,79.89,0.74
MKFG,Markforged Holding Corporation,Technology | Computer Hardware | USA,,516530000.0,15000000.0,113100000.0,1.36,1.33,,,374.0,Yes,Yes,2.0,10.16,,,4.57,1.88,1.92,,12.4,12.9,0.0,0.0,-0.81,0.25,-0.21,-0.08,136.6,30.0,-,,,18.6,108.7,Aug 11 Ae6C,10.12,2.3,0.0,85.3,15.75,,,-25.0,71.5,,,,-29.6,186380000.0,157500000.0,3.37,3.93,3.71,1.72 - 8.29,-69.12,48.84,53.5,0.9,1350000.0,1218101.0,5.79,-13.22,12.28,-22.89,-68.59,-52.33,,0.19,8.67 7.70,2.36,2.56,8.47
MLI,"Mueller Industries, Inc.",Industrials | Metal Fabrication | USA,,3590000000.0,661400000.0,4100000000.0,27.08,3.54,1.0,1.59,5337.0,Yes,Yes,1.0,5.38,8.65,0.45,0.88,2.32,17.73,7.88,2.1,3.2,0.0,0.0,-4.92,11.65,7.25,2.35,233.5,-32.9,,36.4,12.9,13.6,90.7,Jul 19 e9e6O,0.48,2.2,-0.4,93.8,-1.4,35.5,50.8,40.0,25.9,21.6,16.1,6.4,9.03,55790000.0,54980000.0,4.86,8.44,125.0,40.15 - 70.38,-10.87,56.24,42.93,0.71,316380.0,224894.0,-0.4,-7.19,9.86,13.44,45.31,5.68,1.14,1.71,2.86 2.59,62.19,62.73,0.87
MLNK,"MeridianLink, Inc.",Technology | Software - Application | USA,,1430000000.0,-17800000.0,277100000.0,7.17,1.25,,,622.0,No,Yes,2.2,,38.33,,5.15,2.49,14.24,16.45,3.1,3.1,0.74,0.74,1.36,-0.26,0.47,0.08,-54.9,17.09,,,,6.6,218.1,Aug 09 Ae6C,1.33,2.6,-6.73,73.4,4.64,-1.7,-3.2,2.3,63.6,4.6,-6.4,,-2.68,80420000.0,64740000.0,1.65,8.46,22.62,13.81 - 27.98,-36.17,29.33,54.18,0.91,126310.0,114414.0,3.84,-1.76,2.35,-3.88,-33.16,-17.24,,0.51,2.54 2.97,17.58,17.86,1.59
MMC,"Marsh & McLennan Companies, Inc.",Financial | Insurance Brokers | USA,S&P 500,84410000000.0,3380000000.0,20650000000.0,21.34,1.8,2.36,1.42,83000.0,Yes,Yes,2.6,25.16,22.35,3.07,4.09,7.81,92.86,48.04,1.2,1.2,1.1,0.98,-0.47,6.63,7.46,1.15,55.6,10.16,,12.7,8.5,7.2,19.6,Jul 21 e9e6O,3.01,0.2,-0.93,92.2,-0.21,10.0,31.9,14.9,,22.0,16.4,31.9,3.41,501000000.0,498430000.0,0.86,2.4,177.13,142.80 - 183.14,-8.94,16.78,54.26,0.57,1780000.0,1025986.0,2.58,-1.72,8.99,10.08,4.04,-4.06,0.89,2.79,1.99 1.62,166.27,166.76,0.29
MMS,"Maximus, Inc.",Industrials | Specialty Business Services | USA,,3720000000.0,186800000.0,4560000000.0,24.7,1.54,1.12,1.83,35800.0,Yes,Yes,2.0,20.37,18.17,1.63,0.82,2.47,39.75,11.25,1.5,1.5,0.97,0.94,-2.18,3.0,3.36,0.69,37.8,13.9,,11.6,12.1,-9.5,-66.5,Aug 03 Ae6C,-3.67,0.7,11.38,,-1.14,4.5,12.3,10.6,19.4,6.1,4.1,37.3,-13.82,61610000.0,59950000.0,2.51,4.31,76.0,56.50 - 88.13,-30.74,8.04,42.08,0.53,349730.0,185220.0,-0.41,-4.76,-0.72,-18.57,-27.54,-23.38,0.72,1.17,1.93 1.60,60.19,61.04,1.41
MNDT,"Mandiant, Inc.",Technology | Software - Infrastructure | USA,,5400000000.0,-427800000.0,522900000.0,5.75,6.97,,,2335.0,Yes,Yes,3.2,,,,10.32,4.0,3.3,,,3.7,0.47,0.47,0.51,-1.82,-0.09,-0.09,-14.6,81.4,-,9.3,-7.3,21.1,6.5,Aug 02 Ae6C,1.61,2.2,-3.25,80.7,-1.11,24.7,68.4,-14.2,46.6,-71.9,,0.0,12.84,233220000.0,228630000.0,17.18,11.4,20.5,13.76 - 23.33,-1.5,67.07,75.31,2.08,3440000.0,7174399.0,0.52,0.39,5.51,5.61,24.15,31.01,0.82,0.05,0.22 0.17,22.86,22.98,0.52
MNDY,monday.com Ltd.,Technology | Software - Application | Israel,,5850000000.0,-173800000.0,410800000.0,14.24,,,,1064.0,Yes,Yes,1.9,,,,14.23,9.15,,,3.2,3.2,0.0,0.0,6.1,-3.82,-1.94,-0.54,22.0,19.2,-,,,75.2,-35.9,Aug 08 e9e6O,13.53,32.7,0.0,62.9,1.34,-18.4,-25.6,-18.3,87.0,-42.5,-42.3,,-21.93,45080000.0,30340000.0,8.07,4.45,190.91,85.75 - 450.00,-71.04,52.0,60.49,0.89,550670.0,488926.0,18.27,-7.7,17.65,-0.01,-66.68,-57.78,,8.39,6.47 5.98,128.7,130.34,1.27
MNRL,"Brigham Minerals, Inc.",Energy | Oil & Gas E&P | USA,,1620000000.0,103700000.0,251900000.0,12.44,0.41,1.62,5.8,44.0,Yes,Yes,1.6,13.63,10.29,0.47,6.44,2.25,67.36,13.58,5.1,5.1,0.11,0.11,-3.85,2.05,2.72,0.74,199.2,-5.63,,36.1,50.0,140.5,214.3,Aug 04 Ae6C,5.94,1.7,-76.69,90.2,4.45,12.7,18.4,11.2,,64.5,41.2,49.7,14.92,52550000.0,51650000.0,3.85,3.27,37.29,17.37 - 32.93,-15.15,60.83,48.9,1.05,608690.0,641246.0,-1.13,2.53,-12.17,16.43,59.2,39.39,1.8,1.29,3.74 3.94,27.3,27.94,2.34
MNST,Monster Beverage Corporation,Consumer Defensive | Beverages - Non-Alcoholic | USA,S&P 500,49040000000.0,1230000000.0,6010000000.0,12.97,5.15,,,4092.0,Yes,Yes,2.2,40.38,30.23,2.76,8.16,7.13,17.95,44.11,3.8,4.5,0.0,0.0,2.64,2.29,3.06,0.61,-2.4,28.87,,16.7,12.7,22.1,-6.8,Aug 04 Ae6C,-1.0,0.2,-21.95,67.3,2.48,18.1,21.5,20.9,51.8,29.9,22.9,0.0,5.08,529400000.0,373730000.0,1.65,2.23,101.06,71.78 - 99.81,-7.39,28.78,56.6,0.9,2760000.0,2474505.0,3.85,2.91,3.51,22.6,-4.07,-3.76,0.95,1.87,2.30 1.74,91.42,92.43,1.1
MNTV,Momentive Global Inc.,Technology | Software - Application | USA,,1070000000.0,-130300000.0,469200000.0,1.85,1.42,,,1600.0,Yes,Yes,2.3,,23.42,,2.27,3.92,5.1,88.19,0.9,0.9,0.68,0.67,-0.02,-0.87,0.31,0.04,-28.0,133.08,,-6.1,16.4,9.9,3.9,Aug 04 Ae6C,-11.89,2.3,-4.43,81.7,-2.01,-14.6,-40.1,-20.0,81.1,-25.5,-27.8,,-48.81,148650000.0,127080000.0,2.48,1.81,12.75,6.51 - 25.00,-70.96,11.52,44.8,0.51,1750000.0,899308.0,4.76,-7.87,-36.87,-51.86,-63.86,-65.67,1.37,0.41,4.69 4.55,6.86,7.26,5.83
MO,"Altria Group, Inc.",Consumer Defensive | Tobacco | USA,S&P 500,82740000000.0,1740000000.0,25480000000.0,-1.33,1.41,3.76,8.25,6000.0,Yes,Yes,2.6,46.88,8.95,11.01,3.25,,32.23,53.07,0.4,0.5,,,0.4,0.97,5.09,1.31,-44.6,4.99,,-28.8,0.2,-5.7,-57.7,Jul 28 e9e6O,3.73,0.1,0.0,60.2,-0.16,4.5,-99.0,35.6,55.0,45.1,6.8,370.3,-6.57,1810000000.0,1800000000.0,0.95,1.66,49.28,41.00 - 57.05,-20.12,11.15,56.09,0.76,10310000.0,7834404.0,0.44,1.86,-6.35,-11.05,-9.92,-3.84,0.62,0.7,2.15 1.46,45.15,45.57,0.93
MODN,"Model N, Inc.",Technology | Software - Application | USA,,1180000000.0,-26600000.0,212500000.0,3.6,4.97,,,982.0,Yes,Yes,1.9,,41.46,,5.55,8.83,6.39,44.52,2.7,2.7,1.0,1.0,4.61,-0.73,0.77,0.19,-108.7,9.1,-,7.1,12.6,10.2,23.3,Aug 09 Ae6C,14.79,3.4,-4.5,98.1,-0.01,-7.3,-20.5,-6.1,55.7,-4.9,-12.5,,19.98,36940000.0,34080000.0,7.18,17.17,35.14,20.95 - 37.38,-14.94,51.79,64.98,1.16,142530.0,164801.0,9.47,-5.86,30.27,28.85,-13.0,5.89,0.75,1.17,3.42 3.06,30.75,31.8,3.41
