,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,-,8650000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.81,12200.0,Yes,Yes,2.1,9.72,6.92,-,0.65,1.58,5.28,7.75,1.0,1.8,0.3,0.3,-5.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,1.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-19.89,182000000.0,173820000.0,4.5,1.33,58.22,39.56 - 98.09,-49.79,24.48,45.41,0.67,5870000.0,3947643.0,-11.8,2.93,-20.35,-45.68,4.99,-17.34,2.32,2.67,5.04 4.58,48.08,49.25,2.43
MMS,"Maximus, Inc.",Industrials | Specialty Business Services | USA,-,3710000000.0,186800000.0,4560000000.0,24.7,1.54,1.12,1.84,35800.0,Yes,Yes,2.0,20.3,18.1,1.62,0.81,2.46,39.61,11.21,1.5,1.5,0.97,0.94,-3.73,3.0,3.36,0.69,37.8,13.9,,11.6,12.1,-9.5,-66.5,Aug 03 Ae6C,-4.29,0.7,11.38,,-1.14,4.5,12.3,10.6,19.4,6.1,4.1,37.3,-14.66,61610000.0,59950000.0,2.51,4.37,76.0,56.50 - 88.51,-31.28,7.65,35.67,1.25,344220.0,429832.0,-1.36,-6.08,-4.64,-22.74,-30.74,-23.66,0.72,1.22,2.11 1.60,61.29,60.82,-0.77
MNDT,"Mandiant, Inc.",Technology | Software - Infrastructure | USA,-,5370000000.0,-427800000.0,522900000.0,5.75,6.97,-,,2335.0,Yes,Yes,3.2,-,-,-,10.27,3.98,3.28,-,-,3.7,0.47,0.47,0.01,-1.82,-0.09,-0.09,-14.6,81.4,-,9.3,-7.3,21.1,6.5,Aug 02 Ae6C,1.45,2.2,-3.25,80.7,-1.11,24.7,68.4,-14.2,46.6,-71.9,,0.0,12.81,233220000.0,228630000.0,17.18,10.46,20.5,13.76 - 23.33,-2.01,66.19,65.48,0.83,3750000.0,3119762.0,0.0,0.31,4.91,17.96,24.99,30.33,0.82,0.04,0.11 0.18,22.86,22.86,0.0
MNDY,monday.com Ltd.,Technology | Software - Application | Israel,-,4970000000.0,-173800000.0,410800000.0,14.24,-,-,,1064.0,Yes,Yes,1.9,-,-,-,12.1,7.78,-,-,3.2,3.2,0.0,0.0,-13.08,-3.82,-1.94,-0.54,22.0,19.2,-,,,75.2,-35.9,Aug 08 e9e6O,-3.42,32.7,0.0,62.9,1.34,-18.4,-25.6,-18.3,87.0,-42.5,-42.3,,-35.77,45080000.0,30340000.0,8.07,4.52,190.91,85.75 - 450.00,-75.38,29.21,40.64,0.62,541990.0,336144.0,-6.03,-8.96,-4.56,-18.48,-72.03,-64.11,-,8.22,6.34 6.44,110.21,110.8,0.54
MNRL,"Brigham Minerals, Inc.",Energy | Oil & Gas E&P | USA,-,1710000000.0,103700000.0,251900000.0,12.44,0.41,1.62,5.51,44.0,Yes,Yes,1.6,14.34,10.82,0.5,6.78,2.36,70.88,14.29,5.1,5.1,0.11,0.11,2.13,2.05,2.72,0.74,199.2,-5.63,,36.1,50.0,140.5,214.3,Aug 04 Ae6C,12.69,1.7,-76.79,90.2,4.45,12.7,18.4,11.2,,64.5,41.2,49.7,21.59,52550000.0,51650000.0,3.85,3.27,37.29,16.71 - 32.93,-10.72,75.89,55.75,0.49,608880.0,295960.0,-1.14,17.88,-7.38,12.73,60.15,46.67,1.8,1.32,5.21 4.17,28.26,29.4,4.03
MNST,Monster Beverage Corporation,Consumer Defensive | Beverages - Non-Alcoholic | USA,S&P 500,46890000000.0,1230000000.0,6010000000.0,12.97,5.15,-,,4092.0,Yes,Yes,2.2,38.62,28.9,2.64,7.8,6.81,17.16,42.18,3.8,4.5,0.0,0.0,-1.88,2.29,3.06,0.61,-2.4,28.87,,16.7,12.7,22.1,-6.8,Aug 04 Ae6C,-5.59,0.2,-21.95,67.3,2.48,18.1,21.5,20.9,51.8,29.9,22.9,0.0,0.46,529400000.0,373730000.0,1.65,2.23,101.06,71.78 - 99.81,-11.44,23.15,37.55,1.25,2760000.0,3449747.0,-0.85,-8.27,-0.5,8.69,-9.44,-7.97,0.95,1.84,1.87 1.89,89.0,88.39,-0.69
MNTV,Momentive Global Inc.,Technology | Software - Application | USA,-,1020000000.0,-130300000.0,469200000.0,1.85,1.42,-,,1600.0,Yes,Yes,2.3,-,22.45,-,2.18,3.76,4.89,84.54,0.9,0.9,0.68,0.67,-6.67,-0.87,0.31,0.04,-28.0,133.08,,-6.1,16.4,9.9,3.9,Aug 04 Ae6C,-18.08,2.3,-4.43,81.7,-2.01,-14.6,-40.1,-20.0,81.1,-25.5,-27.8,,-51.99,148650000.0,127080000.0,2.48,1.81,12.75,6.58 - 25.00,-72.16,5.78,33.76,0.91,1740000.0,1580208.0,-2.93,-18.88,-45.2,-53.6,-65.63,-67.09,1.37,0.41,3.96 5.25,6.93,6.96,0.43
MO,"Altria Group, Inc.",Consumer Defensive | Tobacco | USA,S&P 500,81700000000.0,1740000000.0,25480000000.0,-1.33,1.41,3.76,8.36,6000.0,Yes,Yes,2.6,46.3,8.84,10.87,3.21,-,31.83,52.41,0.4,0.5,-,-,-0.6,0.97,5.09,1.31,-44.6,4.99,,-28.8,0.2,-5.7,-57.7,Jul 28 e9e6O,2.78,0.1,0.0,60.2,-0.16,4.5,-99.0,35.6,55.0,45.1,6.8,370.3,-7.71,1810000000.0,1800000000.0,0.95,1.65,49.28,41.00 - 57.05,-21.12,9.76,49.19,0.82,10410000.0,8523837.0,-1.92,1.69,-16.39,-15.87,-11.83,-5.04,0.62,0.63,1.61 1.24,45.37,45.0,-0.82
MODN,"Model N, Inc.",Technology | Software - Application | USA,-,1080000000.0,-26600000.0,212500000.0,3.6,4.97,-,,982.0,Yes,Yes,1.9,-,37.81,-,5.06,8.06,5.83,40.6,2.7,2.7,1.0,1.0,-3.59,-0.73,0.77,0.19,-108.7,9.1,-,7.1,12.6,10.2,23.3,Aug 09 Ae6C,6.08,3.4,-4.5,98.1,-0.01,-7.3,-20.5,-6.1,55.7,-4.9,-12.5,,9.29,36940000.0,34080000.0,7.18,17.43,35.14,20.95 - 37.38,-22.43,38.42,50.19,0.66,140380.0,93045.0,-2.49,8.94,17.12,22.41,-17.87,-3.43,0.75,1.09,3.11 3.61,29.05,29.0,-0.17
MOS,The Mosaic Company,Basic Materials | Agricultural Inputs | USA,S&P 500,18240000000.0,3250000000.0,16550000000.0,32.69,2.52,0.6,1.09,12525.0,Yes,Yes,2.5,6.25,5.11,0.7,1.1,1.68,21.74,11.86,0.6,1.3,0.34,0.29,-1.5,8.78,10.73,3.59,153.6,-19.29,,38.2,11.5,91.8,150.1,Aug 01 Ae6C,7.51,0.2,-12.83,91.3,-2.94,14.4,29.3,12.6,32.0,27.8,19.7,4.7,6.1,359500000.0,344250000.0,2.51,1.42,69.09,30.58 - 79.28,-30.83,79.33,49.96,0.66,6070000.0,4031030.0,-11.22,6.05,-8.13,-8.34,69.1,39.58,1.59,2.45,4.19 3.45,52.84,54.84,3.79
MPC,Marathon Petroleum Corporation,Energy | Oil & Gas Refining & Marketing | USA,S&P 500,48250000000.0,8180000000.0,160800000000.0,49.45,27.37,2.32,2.34,17700.0,Yes,Yes,1.9,6.69,8.49,0.22,0.3,2.0,3.62,5.5,1.1,1.5,1.02,0.98,0.2,14.81,11.68,5.98,111.9,-43.77,,-1.8,13.8,81.6,,Aug 02 e9e6O,8.54,0.2,-19.91,81.1,-6.41,9.0,31.2,7.5,12.3,8.1,5.1,15.6,19.61,532000000.0,496970000.0,2.77,2.24,121.62,56.08 - 114.35,-13.31,76.77,52.9,0.68,6160000.0,4189390.0,-4.99,9.94,-6.14,27.53,71.21,54.91,1.69,3.11,3.29 2.55,96.76,99.13,2.45
MPWR,"Monolithic Power Systems, Inc.",Technology | Semiconductors | USA,S&P 500,19910000000.0,335700000.0,1500000000.0,30.49,17.31,3.0,0.71,2773.0,Yes,Yes,1.8,60.91,29.9,2.44,13.28,13.92,24.52,78.03,3.8,5.2,0.0,0.0,-15.67,6.97,14.2,3.48,44.5,12.87,,32.1,25.5,57.2,105.6,Aug 01 Ae6C,-6.73,4.1,-4.97,95.7,-0.06,20.4,26.0,18.7,58.1,26.3,22.4,35.2,-5.94,46670000.0,45470000.0,2.47,2.3,574.33,348.02 - 580.00,-26.82,21.95,34.29,1.44,487730.0,702161.0,-10.95,-20.07,-7.22,2.57,-14.78,-13.97,1.11,21.84,5.10 3.73,425.47,424.42,-0.25
MQ,"Marqeta, Inc.",Technology | Software - Infrastructure | USA,-,4030000000.0,-187800000.0,639700000.0,2.82,2.96,-,,789.0,Yes,Yes,2.2,-,-,-,6.3,2.54,2.42,163.11,7.6,7.6,0.0,0.0,-14.57,-0.35,-0.31,-0.09,-402.4,22.0,-,,,52.7,35.5,Aug 10 Ae6C,-19.17,0.31,-5.47,78.4,22.45,-10.5,-12.1,-10.3,45.0,-29.9,-29.4,,-38.36,544700000.0,426490000.0,6.82,2.84,11.73,6.05 - 37.90,-81.11,18.35,37.55,0.46,10250000.0,4742763.0,-2.05,-34.67,-34.79,-24.63,-74.29,-58.3,-,0.67,5.75 6.76,7.34,7.16,-2.45
MRK,"Merck & Co., Inc.",Healthcare | Drug Manufacturers - General | USA,DJIA S&P500,220780000000.0,16640000000.0,57170000000.0,17.09,3.96,2.76,3.2,68000.0,Yes,Yes,2.2,13.15,11.57,1.19,3.86,5.05,21.8,29.08,1.1,1.4,0.73,0.66,-3.55,6.56,7.46,1.75,173.5,1.24,,28.2,4.1,28.0,225.1,Jul 28 e9e6O,-4.93,0.1,0.0,76.3,1.86,16.1,41.9,15.5,70.8,33.0,29.0,41.5,2.54,2530000000.0,2530000000.0,0.78,2.03,100.14,70.89 - 95.72,-9.91,21.64,37.47,0.72,9740000.0,6996938.0,-3.39,-0.68,-4.09,10.79,11.81,12.51,0.34,1.72,1.95 1.86,87.15,86.23,-1.06
MRNA,"Moderna, Inc.",Healthcare | Biotechnology | USA,S&P 500,54360000000.0,14050000000.0,23000000000.0,45.42,20.13,-,,2700.0,Yes,Yes,2.5,4.22,17.04,-,2.36,3.05,6.88,5.9,1.7,2.0,0.04,0.04,-10.83,32.8,8.13,4.81,-1.8,-69.54,-,111.1,179.4,9.1,-18.7,Aug 03 e9e6O,-13.05,5.4,-9.77,64.1,-1.64,56.6,94.8,81.9,82.3,68.0,61.1,0.0,-21.4,396000000.0,353820000.0,4.23,3.03,221.4,115.61 - 464.85,-70.19,19.86,38.39,1.06,4950000.0,5241721.0,1.37,-28.64,1.04,1.55,-65.15,-45.44,1.69,7.81,4.54 4.96,138.95,138.57,-0.27
MRO,Marathon Oil Corporation,Energy | Oil & Gas E&P | USA,S&P 500,16890000000.0,3100000000.0,7330000000.0,16.4,1.77,0.32,1.24,1531.0,Yes,Yes,2.3,6.1,6.04,0.37,2.3,1.57,14.53,5.17,1.1,1.2,0.35,0.32,5.62,4.22,4.26,1.28,165.5,-14.13,,19.8,10.1,101.8,1244.3,Aug 03 Ae6C,11.09,0.3,-39.95,78.9,-5.87,17.6,28.0,7.5,91.8,42.1,42.3,6.9,13.81,703000000.0,676270000.0,2.84,1.12,31.83,11.02 - 33.24,-22.64,133.3,57.49,0.74,17160000.0,12673107.0,-1.72,19.75,-18.84,7.98,119.37,56.58,2.48,1.14,4.01 4.00,24.92,25.71,3.17
MRVL,"Marvell Technology, Inc.",Technology | Semiconductors | USA,-,39190000000.0,-217800000.0,5520000000.0,18.25,0.72,0.24,0.52,6729.0,Yes,Yes,1.9,-,16.21,-,7.1,2.51,63.51,55.28,0.9,1.4,0.3,0.25,-12.66,-0.26,2.82,0.59,-27.4,22.05,,-41.4,14.2,41.0,101.5,Aug 25 Ae6C,-9.51,0.3,-9.97,86.2,1.54,-1.0,-1.4,-1.4,50.9,2.0,-3.9,,-28.83,850900000.0,847640000.0,1.89,1.63,75.87,41.07 - 93.85,-51.24,11.42,36.57,1.05,9810000.0,10324819.0,-8.79,-20.21,-22.39,-27.83,-25.38,-47.7,1.51,2.59,4.60 4.61,45.97,45.76,-0.46
MSFT,Microsoft Corporation,Technology | Software - Infrastructure | USA,DJIA S&P500,1942040000000.0,72740000000.0,198270000000.0,22.29,13.81,2.48,0.97,221000.0,Yes,Yes,1.7,26.55,21.45,1.72,9.79,11.49,18.54,41.31,1.7,1.8,0.39,0.37,-8.46,9.64,11.94,2.32,19.8,17.86,,24.3,15.5,12.4,2.8,Jul 26 Ae6C,-5.32,0.07,-0.99,72.1,-0.0,21.0,45.4,31.3,68.4,42.0,36.7,24.9,-11.91,7470000000.0,7430000000.0,0.51,1.49,333.0,241.51 - 349.67,-26.77,6.02,31.63,0.9,25490000.0,22830384.0,-4.49,-9.73,-5.17,-11.66,-14.97,-23.86,0.95,6.15,2.44 1.86,260.4,256.06,-1.67
MSTR,MicroStrategy Incorporated,Technology | Software - Application | USA,-,2500000000.0,-1319200000.0,503900000.0,-16.55,6.06,-,,2158.0,Yes,Yes,2.0,-,120.81,-,4.95,-,35.98,67.3,0.8,0.8,-,-,-25.91,-117.62,1.8,0.27,-166.5,107.8,,-54.4,-0.1,-2.6,-206.1,Aug 02 Ae6C,-15.19,0.1,288.14,75.7,3.15,-41.4,-249.3,-16.2,80.7,,,,-43.14,11300000.0,9330000.0,32.8,3.97,500.67,134.09 - 891.38,-75.54,62.62,32.0,0.55,771470.0,421491.0,-12.5,-29.5,-4.03,-46.86,-68.66,-59.95,2.27,21.39,7.76 6.79,220.92,218.06,-1.29
MTCH,"Match Group, Inc.",Communication Services | Internet Content & Information | USA,S&P 500,15690000000.0,111300000.0,3200000000.0,-1.59,1.66,-,,2500.0,Yes,Yes,1.8,161.82,26.84,7.54,4.9,-,33.18,30.97,1.3,1.3,-,-,-11.57,0.34,2.06,0.41,-55.9,49.09,,6.6,21.7,12.2,-124.8,Aug 02 Ae6C,-18.59,0.3,1.91,99.9,-1.14,2.3,-52.5,11.6,70.5,20.3,3.5,0.0,-42.1,285130000.0,278790000.0,3.18,2.89,86.14,53.47 - 182.00,-69.68,3.2,32.55,0.76,3070000.0,2341777.0,-4.65,-17.06,-32.88,-42.87,-62.49,-58.28,0.86,3.29,4.32 4.25,55.45,55.18,-0.49
MTDR,Matador Resources Company,Energy | Oil & Gas E&P | USA,-,6800000000.0,1040000000.0,2550000000.0,21.41,1.98,0.4,0.69,286.0,Yes,Yes,2.0,6.72,5.47,0.65,2.67,2.73,29.5,4.3,1.3,1.3,0.0,0.52,-1.23,8.69,10.66,2.76,196.1,-5.21,,45.8,44.5,164.1,289.6,Jul 26 Ae6C,9.9,0.6,0.03,94.1,-2.15,23.4,50.5,20.9,76.9,57.3,40.9,2.0,17.8,118100000.0,111190000.0,8.3,6.69,77.3,27.60 - 67.78,-13.88,111.49,51.18,0.9,1380000.0,1244371.0,-5.1,12.4,-6.98,8.96,102.11,58.1,3.64,2.93,4.96 4.36,57.55,58.37,1.42
MTLS,Materialise NV,Technology | Software - Application | Belgium,-,679210000.0,14300000.0,219000000.0,3.96,2.81,-,,2332.0,Yes,Yes,2.4,46.91,80.85,-,3.1,2.88,4.06,35.01,2.1,2.3,0.39,0.29,-9.07,0.24,0.14,0.0,275.3,252.5,-,41.3,12.4,14.6,-75.0,Jul 28 e9e6O,-14.96,2.37,0.0,29.6,-1.03,3.5,6.2,3.5,57.3,3.9,6.5,0.0,-36.21,59060000.0,8000000.0,5.18,2.18,19.58,11.13 - 27.55,-58.62,2.43,36.35,1.0,190320.0,190420.0,0.71,-18.86,-19.83,-35.08,-52.44,-52.24,0.76,0.66,4.48 4.91,11.5,11.4,-0.87
MTRX,Matrix Service Company,Energy | Oil & Gas Equipment & Services | USA,-,147270000.0,-90100000.0,682000000.0,7.95,1.28,-,,2717.0,Yes,Yes,1.5,-,-,-,0.22,0.69,4.32,-,1.3,1.4,0.0,0.0,-1.49,-3.37,-0.07,-0.3,-10.9,96.1,,-26.9,-12.5,19.4,-115.0,Sep 12 Ae6C,4.36,3.6,0.0,82.0,-3.5,-19.9,-34.8,-12.9,-0.1,-12.6,-12.9,,-18.53,26780000.0,25980000.0,1.0,0.91,12.5,4.24 - 11.76,-53.06,30.09,48.52,0.26,287410.0,73650.0,-6.76,11.29,-8.61,-21.92,-51.79,-26.6,1.61,0.24,4.46 4.49,5.5,5.52,0.36
MTTR,"Matterport, Inc.",Technology | Software - Application | USA,-,1260000000.0,-321700000.0,111700000.0,2.23,1.58,-,,485.0,Yes,Yes,2.3,-,-,-,11.28,1.88,2.65,-,10.1,10.2,0.0,0.0,-16.61,-1.51,-0.38,-0.13,-692.1,24.0,,,,-3.4,-58.4,Aug 10 Ae6C,-6.15,1.4,-37.87,45.8,28.3,-46.2,-72.9,-55.0,43.9,,,,-56.68,283400000.0,272410000.0,12.31,5.81,8.83,3.51 - 37.60,-88.86,19.37,38.98,0.68,5770000.0,3914631.0,-9.31,-12.53,-24.09,-38.83,-75.85,-79.7,-,0.38,5.99 8.04,4.44,4.19,-5.63
MU,"Micron Technology, Inc.",Technology | Semiconductors | USA,S&P 500,63220000000.0,9910000000.0,32390000000.0,44.32,9.11,0.46,0.82,43000.0,Yes,Yes,2.1,6.42,14.36,13.38,1.95,1.27,6.18,14.1,2.4,3.2,0.14,0.14,-6.58,8.77,3.92,0.77,116.2,-52.13,,84.3,17.4,16.4,54.6,Sep 29 Ae6C,-6.17,0.26,-0.74,82.6,-0.96,15.9,21.2,11.6,46.9,34.1,30.6,3.4,-24.38,1110000000.0,1100000000.0,2.98,1.93,74.67,51.40 - 98.45,-42.78,9.59,40.25,0.75,17020000.0,12753506.0,-2.26,-13.14,-19.46,-31.23,-23.87,-39.53,1.29,2.28,3.76 3.50,57.31,56.33,-1.71
MUSA,Murphy USA Inc.,Consumer Cyclical | Specialty Retail | USA,-,6790000000.0,548500000.0,21250000000.0,31.84,10.19,1.28,0.45,6245.0,Yes,Yes,2.7,13.19,20.2,2.93,0.32,9.03,28.23,11.09,0.7,1.0,2.37,2.35,-1.82,21.81,14.23,5.37,14.1,-37.55,,21.7,8.4,51.9,57.4,Jul 27 Ae6C,4.94,1.4,-29.41,89.8,0.29,13.2,68.9,18.2,10.1,3.8,2.6,5.1,29.13,23950000.0,21360000.0,9.4,6.08,265.4,145.24 - 303.09,-5.12,98.0,49.71,0.92,330240.0,302519.0,-1.83,0.26,13.97,58.84,84.17,44.34,0.88,7.96,3.27 2.49,290.7,287.58,-1.07
MYNA,Mynaric AG,Technology | Communication Equipment | Germany,-,150960000.0,-,6970000.0,3.35,-,-,,248.0,No,Yes,-,-,-,-,21.66,2.27,-,-,-,-,-,-,-6.77,-2.11,-,-,,,-,,,-43.6,,-,-6.03,0.1,0.0,21.36,,,,,,,,,-26.53,5240000.0,5240000.0,0.08,0.55,23.25,6.50 - 22.00,-65.5,16.77,42.4,0.28,7970.0,2264.0,-3.44,-8.0,-14.72,-26.02,,-40.33,-,0.5,4.90 6.16,7.21,7.59,5.27
MYPS,"PLAYSTUDIOS, Inc.",Communication Services | Electronic Gaming & Multimedia | USA,-,453390000.0,-7900000.0,281300000.0,2.32,1.7,-,,504.0,Yes,Yes,2.2,-,-,-,1.61,1.51,2.06,13.26,7.0,7.0,0.0,0.0,-9.06,-0.08,-0.06,-0.02,-15.6,135.3,-,,,-3.4,153.1,Aug 09 Ae6C,-13.45,0.3,125.26,25.6,26.61,-2.4,-2.7,-0.9,69.4,-6.4,-2.8,,-23.68,127190000.0,64920000.0,3.44,3.77,5.12,3.24 - 6.60,-46.97,8.02,38.53,0.12,593000.0,73995.0,-5.91,-6.42,-42.43,-6.42,-30.28,-11.39,-,0.24,6.20 6.95,3.52,3.5,-0.57
NABL,"N-able, Inc.",Technology | Information Technology Services | USA,-,1780000000.0,13400000.0,360400000.0,3.37,0.48,-,,1448.0,Yes,Yes,2.0,133.11,27.75,-,4.93,2.92,20.52,51.06,2.5,2.5,0.56,0.55,-2.92,0.07,0.35,0.07,101.5,11.64,-,,,7.4,720.9,Aug 11 e9e6O,1.61,1.6,-0.7,99.8,1.91,1.3,2.2,2.3,85.0,11.0,3.7,0.0,-4.44,180030000.0,179040000.0,1.08,4.09,11.33,8.12 - 15.77,-37.54,21.31,46.11,0.5,474350.0,237732.0,-3.34,-3.05,-9.22,-7.86,-30.73,-11.26,-,0.38,2.90 4.16,9.86,9.85,-0.1
NCNO,"nCino, Inc.",Technology | Software - Application | USA,-,3240000000.0,-65100000.0,305700000.0,9.43,0.73,-,,1681.0,Yes,Yes,2.1,-,1236.92,-,10.58,3.41,44.02,-,0.9,0.9,0.03,0.03,-5.8,-0.63,0.03,-0.03,-10.6,100.0,,,,49.8,-72.5,Sep 01 Ae6C,-3.45,2.0,-13.66,91.9,0.05,-7.0,-8.8,-4.3,59.0,-31.1,-25.7,,-22.85,110390000.0,108470000.0,5.1,8.89,41.5,23.94 - 79.43,-59.51,34.34,47.11,5.29,622590.0,3292150.0,1.04,-9.79,-10.42,-34.43,-55.65,-41.38,-,2.1,7.73 5.28,29.36,32.16,9.54
NCR,NCR Corporation,Technology | Information Technology Services | USA,-,4220000000.0,62000000.0,7800000000.0,10.03,2.88,-,,38000.0,Yes,Yes,1.8,72.71,8.62,18.18,0.54,3.04,10.6,5.58,0.8,1.1,4.09,4.01,-7.12,0.42,3.54,0.79,296.9,26.49,,-17.1,1.8,19.1,321.9,Jul 27 Ae6C,-4.37,0.3,0.0,98.4,5.38,0.6,5.2,3.6,24.4,4.8,0.9,0.0,-16.76,136600000.0,131870000.0,9.05,5.38,41.71,27.05 - 45.92,-33.49,12.9,40.43,0.47,2220000.0,1052922.0,-3.78,-10.39,-10.99,-16.37,-28.54,-24.03,1.51,1.24,3.12 3.38,30.82,30.54,-0.91
NEM,Newmont Corporation,Basic Materials | Gold | USA,S&P 500,32470000000.0,742000000.0,12370000000.0,26.98,5.59,2.2,5.28,14400.0,Yes,Yes,2.0,44.61,17.04,-,2.63,1.54,7.45,51.05,2.1,2.8,0.29,0.28,-5.97,0.93,2.44,0.69,-58.1,-2.28,-,39.3,12.8,-0.2,-40.2,Jul 25 e9e6O,-17.26,0.1,-16.26,85.0,1.91,2.0,3.6,0.5,51.1,6.2,6.4,220.4,-33.61,794000000.0,792370000.0,1.48,1.36,63.78,40.27 - 86.37,-51.75,3.48,30.36,1.2,8650000.0,10399050.0,-3.59,-7.97,-38.56,-43.9,-29.02,-32.81,0.3,1.26,2.68 2.56,40.91,41.67,1.86
NET,"Cloudflare, Inc.",Technology | Software - Infrastructure | USA,-,19420000000.0,-289800000.0,812600000.0,1.79,4.96,-,,3063.0,Yes,Yes,2.3,-,682.67,-,23.9,32.8,11.83,-,5.5,5.5,2.47,2.47,-16.27,-0.91,0.09,0.0,-109.3,168.75,-,-69.8,50.6,53.9,-69.6,Aug 04 Ae6C,1.32,0.1,-78.25,88.9,1.0,-12.2,-41.9,-10.7,77.5,-30.1,-35.7,,-37.18,325200000.0,262230000.0,5.01,2.52,100.48,38.96 - 221.64,-73.51,50.69,41.09,0.66,5200000.0,3448395.0,-8.82,0.48,7.65,-41.82,-54.35,-55.35,-,4.28,6.31 5.86,59.32,58.71,-1.03
NEWR,"New Relic, Inc.",Technology | Software - Infrastructure | USA,-,3930000000.0,-222200000.0,821500000.0,4.65,13.01,-,,2217.0,Yes,Yes,2.4,-,89.7,-,4.78,12.67,4.53,122.74,1.1,1.1,1.61,0.0,-9.39,-3.4,0.66,-0.06,-22.9,630.0,,-26.8,24.4,19.9,38.9,Aug 04 Ae6C,-1.15,5.7,-6.75,88.2,-1.36,-16.5,-67.8,-27.9,68.2,-25.6,-27.1,,-19.54,66420000.0,54120000.0,2.91,2.0,71.44,41.66 - 129.70,-54.56,41.45,40.55,0.43,788270.0,337879.0,-6.56,-3.9,22.03,-3.69,-26.43,-46.41,0.96,2.35,3.92 3.61,58.35,58.93,0.99
NFE,New Fortress Energy Inc.,Utilities | Utilities - Regulated Gas | USA,-,11200000000.0,209600000.0,2040000000.0,8.99,0.69,0.4,0.72,671.0,Yes,No,1.6,57.78,12.79,-,5.48,6.19,80.97,-,1.1,1.2,2.21,2.16,-3.99,0.96,4.35,0.58,128.2,152.41,-,34.9,128.2,161.3,,Aug 04 e9e6O,13.92,0.7,-41.52,49.0,8.02,3.0,11.3,3.8,55.3,27.5,10.3,29.8,51.54,209670000.0,93950000.0,6.23,5.25,64.22,19.17 - 63.06,-11.77,190.25,51.17,0.82,1110000.0,908707.0,-7.33,13.02,12.54,60.44,82.91,130.49,1.53,2.58,4.87 4.51,53.95,55.64,3.13
NFLX,"Netflix, Inc.",Communication Services | Entertainment | USA,S&P 500,102300000000.0,4840000000.0,31030000000.0,42.91,12.86,-,,11300.0,Yes,Yes,2.7,21.16,21.04,2.26,3.3,5.27,17.58,638.58,1.0,1.0,0.75,0.75,-3.48,10.69,10.74,2.12,81.3,6.79,,90.5,27.5,8.6,7.7,Jul 19 Ae6C,6.0,1.5,0.0,78.2,-2.99,11.4,30.1,16.7,40.6,19.1,16.4,0.0,-34.65,444560000.0,438250000.0,2.37,1.08,256.23,162.71 - 700.99,-67.74,38.97,49.67,0.85,9590000.0,8126833.0,1.27,-1.65,13.63,-37.49,-61.58,-62.47,1.34,9.54,4.48 3.69,230.04,226.11,-1.71
NI,NiSource Inc.,Utilities | Utilities - Regulated Gas | USA,S&P 500,12070000000.0,667800000.0,5420000000.0,13.97,0.19,0.94,3.18,7272.0,Yes,Yes,1.9,19.23,19.06,2.63,2.22,2.12,155.13,151.24,0.5,0.6,1.78,1.68,-3.55,1.54,1.55,0.12,773.1,6.68,,4.4,1.8,20.0,10.0,Aug 03 e9e6O,-0.5,0.1,0.0,97.8,2.5,2.8,12.4,5.8,67.2,21.7,12.3,54.9,1.52,406400000.0,404420000.0,2.99,3.11,32.33,23.65 - 32.58,-9.31,24.95,41.07,0.56,3890000.0,2162473.0,-2.09,-1.01,-5.95,-3.05,16.43,7.03,0.38,0.57,2.07 1.67,29.73,29.55,-0.61
NICE,NICE Ltd.,Technology | Software - Application | Israel,-,13600000000.0,226100000.0,2070000000.0,44.79,22.01,-,,7102.0,Yes,Yes,1.5,61.68,25.06,5.02,6.58,4.66,9.48,34.16,2.0,2.0,0.23,0.16,-5.65,3.38,8.33,1.87,0.0,11.76,,8.2,13.6,16.4,47.0,Aug 18 e9e6O,-1.28,0.13,0.0,66.2,-0.56,4.9,8.0,6.1,68.2,14.0,10.9,0.0,-10.14,63810000.0,63480000.0,2.87,8.51,277.73,179.13 - 319.88,-34.76,16.5,40.54,0.59,214120.0,126340.0,-2.08,-5.72,4.41,-7.87,-29.15,-31.26,0.85,6.37,2.56 2.77,210.11,208.68,-0.68
